groupId,count,score,text
1745487793000000001,1879,4.74,duration=* policy_id=* service=*/port:* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=192.168.14.244 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.14.244 port=* session_id=* reason=Close - AGE OUT
1745303596000000005,1600,4.67,duration=* policy_id=* service=*/port:* proto=* src zone=Private dst zone=Trust action=Deny sent=* rcvd=* src=* dst=192.168.48.33 src_port=* dst_port=* session_id=* reason=Traffic Denied
1739990607000000011,1502,4.67,duration=* policy_id=* service=* * *(tcp) proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.33 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.33 port=* dst-xlated ip=* port=* session_id=* reason=Close - AGE OUT
1745809201000000002,1476,0.00,duration=* policy_id=* service=icmp proto=* src zone=Private dst zone=Trust action=Deny sent=* rcvd=* src=* dst=* icmp type=* icmp *=* session_id=* reason=Traffic Denied
1745793883000000002,1455,5.09,duration=* policy_id=* service=icmp proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.133 dst=* icmp type=* icmp *=* src-xlated ip=192.168.48.133 dst-xlated ip=* session_id=* reason=Close - RESP
1744456199000000002,1442,4.69,duration=* policy_id=* service=*/port:* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=192.168.14.245 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.14.245 port=* session_id=* reason=Close - AGE OUT
1740086786000000001,1434,4.76,duration=* policy_id=* service=* * *(tcp) proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=192.168.14.235 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.14.235 port=* session_id=* reason=Close - AGE OUT
1739990707000000042,1384,4.65,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.130 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.130 port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP RST
1739991069000000070,1271,4.51,duration=* policy_id=* service=tcp/port:* proto=* src zone=Trust dst zone=* action=Permit sent=* rcvd=* src=192.168.48.51 dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP RST
1739991881000000010,1261,4.75,duration=* policy_id=* service=* * *(tcp) proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=192.168.14.244 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.14.244 port=* session_id=* reason=Close - AGE OUT
